#etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	11	0	0	 0
-2.1	-1.6	10	11	0	0	 0
-1.6	-1.2	10	11	0	0	 0
-1.2	-0.8	10	11	0	0	 0
-0.8	-0.3	10	11	0	0	 0
-0.3	-0.2	10	11	0	0	 0
-0.2	0.2	10	11	0	0	 0
0.2	0.3	10	11	0	0	 0
0.3	0.8	10	11	0	0	 0
0.8	1.2	10	11	0	0	 0
1.2	1.6	10	11	0	0	 0
1.6	2.1	10	11	0	0	 0
2.1	2.4	10	11	0	0	 0
-2.4	-2.1	11	12	0.0549451	0.00567007	 0.00558228
-2.1	-1.6	11	12	0.0350397	0.00309399	 0.00296852
-1.6	-1.2	11	12	0.0301547	0.00385574	 0.00360604
-1.2	-0.8	11	12	0.0228524	0.00387281	 0.00345584
-0.8	-0.3	11	12	0.0234177	0.00380111	 0.00348863
-0.3	-0.2	11	12	0.0157921	0.0115605	 0.00777145
-0.2	0.2	11	12	0.0224796	0.00534313	 0.00476164
0.2	0.3	11	12	0.0131632	0.00939864	 0.00633656
0.3	0.8	11	12	0.025219	0.00367694	 0.00336717
0.8	1.2	11	12	0.0292651	0.00447434	 0.00367826
1.2	1.6	11	12	0.0316162	0.0036263	 0.00342431
1.6	2.1	11	12	0.0334915	0.00344566	 0.00328322
2.1	2.4	11	12	0.034604	0.00530809	 0.00495816
-2.4	-2.1	12	13	0.701678	0.000165588	 0.000165588
-2.1	-1.6	12	13	0.763943	0.00662346	 0.00705146
-1.6	-1.2	12	13	0.846392	0.00641516	 0.00646391
-1.2	-0.8	12	13	0.877553	0.00707914	 0.00729795
-0.8	-0.3	12	13	0.91876	0.00573587	 0.00586553
-0.3	-0.2	12	13	0.837462	0.0205772	 0.0211108
-0.2	0.2	12	13	0.89887	0.00826541	 0.00867416
0.2	0.3	12	13	0.800477	0.0212903	 0.0226281
0.3	0.8	12	13	0.902027	0.00618401	 0.00635716
0.8	1.2	12	13	0.873127	0.00706275	 0.00720823
1.2	1.6	12	13	0.839974	0.00732409	 0.00745846
1.6	2.1	12	13	0.77485	0.00683061	 0.00689358
2.1	2.4	12	13	0.719837	0.0111699	 0.012075
-2.4	-2.1	13	14	0.777336	0.00900254	 0.00905981
-2.1	-1.6	13	14	0.842894	0.00580164	 0.00590145
-1.6	-1.2	13	14	0.911761	0.00450626	 0.0046679
-1.2	-0.8	13	14	0.913324	0.00525784	 0.00538825
-0.8	-0.3	13	14	0.933353	0.00427075	 0.00448426
-0.3	-0.2	13	14	0.822445	0.0195486	 0.0245927
-0.2	0.2	13	14	0.931296	0.00580626	 0.00606615
0.2	0.3	13	14	0.828312	0.0221061	 0.0226705
0.3	0.8	13	14	0.941449	0.00438917	 0.00448542
0.8	1.2	13	14	0.911009	0.00512128	 0.00515543
1.2	1.6	13	14	0.899701	0.0049236	 0.00487398
1.6	2.1	13	14	0.844081	0.00533787	 0.00524651
