#etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.871831	0.00748931	 0.00749022
-2.1	-1.6	10	13	0.943589	0.00475515	 0.00477909
-1.6	-1.2	10	13	0.946645	0.00439387	 0.00443537
-1.2	-0.8	10	13	0.91543	0.00546932	 0.00552359
-0.8	-0.3	10	13	0.955632	0.00641234	 0.00643783
-0.3	-0.2	10	13	0.869438	0.017725	 0.017908
-0.2	0.2	10	13	0.971007	0.00863182	 0.00867482
0.2	0.3	10	13	0.83918	0.00052368	 0.00052368
0.3	0.8	10	13	0.956573	0.00636582	 0.00639847
0.8	1.2	10	13	0.910116	0.0054209	 0.00545648
1.2	1.6	10	13	0.952612	0.00530037	 0.00532062
1.6	2.1	10	13	0.940747	0.00541786	 0.00542354
2.1	2.4	10	13	0.889509	0.0074175	 0.0074241
-2.4	-2.1	13	16	0.884414	0.0048459	 0.00488303
-2.1	-1.6	13	16	0.947449	0.0029118	 0.00294807
-1.6	-1.2	13	16	0.968289	0.00268809	 0.00272242
-1.2	-0.8	13	16	0.938707	0.00324955	 0.00325635
-0.8	-0.3	13	16	0.961491	0.00313541	 0.00316455
-0.3	-0.2	13	16	0.875791	0.00957012	 0.00969394
-0.2	0.2	13	16	0.962327	0.00412188	 0.00417263
0.2	0.3	13	16	0.832069	0.0104956	 0.0106966
0.3	0.8	13	16	0.963775	0.00325093	 0.00329066
0.8	1.2	13	16	0.932652	0.0032749	 0.00330815
1.2	1.6	13	16	0.959993	0.00311802	 0.0031439
1.6	2.1	13	16	0.954088	0.00313754	 0.0031647
2.1	2.4	13	16	0.882657	0.00494856	 0.00499029
-2.4	-2.1	16	20	0.890993	0.00294749	 0.00296845
-2.1	-1.6	16	20	0.953543	0.00163284	 0.00165621
-1.6	-1.2	16	20	0.977517	0.00143008	 0.00144902
-1.2	-0.8	16	20	0.944136	0.00179346	 0.00181897
-0.8	-0.3	16	20	0.967893	0.00147314	 0.0014864
-0.3	-0.2	16	20	0.864208	0.00511484	 0.00517713
-0.2	0.2	16	20	0.954398	0.00199417	 0.00200251
